Date,Region,Place,Trigger,Depth,Width,Vertical,Elevation,Fatalities 
3/22/2025,Salt Lake,Microwave,Snowboarder,"6""",60',200',"10,000'",0
3/22/2025,Salt Lake,Patsy Marly,Skier,"18""",100',100',"10,400'",0
3/22/2025,Salt Lake,Jaws,Skier,"7""",150',500',"9,800'",0
3/22/2025,Salt Lake,Wolverine,Skier,"6""",30',unknown,"10,400'",0
3/22/2025,Salt Lake,Salt Lake,Snowboarder,"5""",25',unknown,"9,500'",0
3/22/2025,Salt Lake,Millicent Peak,Skier,"8""",50',unknown,"10,000'",0
3/22/2025,Salt Lake,Toledo Chutes,Snowboarder,"8""",20',unknown,"10,100'",0
3/23/2025,Salt Lake,Upper Days,Skier,"5""",25',300',"10,400'",0
3/23/2025,Salt Lake,Wolverine,Snowboarder,"11""",30',100',"10,500'",0
3/23/2025,Salt Lake,Dromedary Peak,Skier,"18""",150',250',"10,800'",0
3/23/2025,Salt Lake,Two Dogs,Snowboarder,"10""",25',100',"10,100'",0
3/23/2025,Salt Lake,Banana Days,Natural,,30',500',"9,900'",0
3/23/2025,Salt Lake,Big Mac,Snowboarder,"10""",30',unknown,"9,700'",0
3/23/2025,Salt Lake,Mt Olympus,Natural,unknown,unknown,unknown,"8,800'",0
3/23/2025,Salt Lake,Monte Cristo,Skier,2',100',"2,000'","10,800'",0
3/23/2025,Salt Lake,Tuscarora,Snowboarder,"2""",35',unknown,"10,500'",0
3/23/2025,Salt Lake,Mt Olympus,Natural,2',50',unknown,"8,000'",0
3/24/2025,Salt Lake,Upper Days,Skier,"8""",20',unknown,"10,100'",0
3/25/2025,Salt Lake,Little Pine,Natural,unknown,unknown,"2,000'","10,600'",0
3/25/2025,Salt Lake,Cottonwood Canyons,Natural,unknown,unknown,unknown,"5,300'",0
3/27/2025,Salt Lake,Coalpit,Natural,unknown,unknown,unknown,"7,300'",0
3/28/2025,Salt Lake,Broads Fork,Natural,unknown,unknown,unknown,"9,300'",0
3/28/2025,Salt Lake,Stairs Gulch,Natural,unknown,unknown,"1,000'","9,400'",0
3/28/2025,Salt Lake,Raymond Slabs,Natural,unknown,40',600',"9,200'",0
3/29/2025,Salt Lake,The Ice Box,Natural,unknown,unknown,unknown,"9,400'",0
3/30/2025,Salt Lake,Depth Hoar Bowl,Natural,unknown,100',300',"9,400'",0
3/30/2025,Salt Lake,Mill B South,Skier,"2""",15',100',"8,500'",0
4/1/2025,Salt Lake,Meadows,Skier,"8""",125',100',"9,200'",0
4/1/2025,Salt Lake,Days Fork,Natural,unknown,175',400',"9,700'",0
4/1/2025,Salt Lake,Days Fork,Natural,"7""",40',unknown,"9,700'",0
4/1/2025,Salt Lake,Days Fork,Skier,"15""",150',unknown,"10,400'",0
4/1/2025,Salt Lake,Monitors,Natural,"8""",200',unknown,"9,800'",0
4/1/2025,Salt Lake,Bear Trap,Skier,"6""",5',unknown,"8,200'",0
4/1/2025,Salt Lake,Georges Bowl,Skier,"10""",80',unknown,"8,400'",0
4/1/2025,Salt Lake,Silver Fork,Snowboarder,"10""",200',300',"9,900'",0
4/1/2025,Salt Lake,Days Fork,Skier,3',10',unknown,"10,100'",0
4/1/2025,Salt Lake,Argenta,Skier,"12""",100',200',"9,500'",0
4/1/2025,Salt Lake,Scotties Bowl,Natural,"12""",100',unknown,"9,600'",0
4/1/2025,Salt Lake,Lanes Leap,Natural,"8""",50',unknown,"9,600'",0
4/1/2025,Salt Lake,Michigan City,Skier,"20""",50',unknown,"8,800'",0
4/1/2025,Salt Lake,Pink Pine,Skier,unknown,100',unknown,"8,800'",0
4/1/2025,Salt Lake,Park City Ridgeline,Natural,"12""",unknown,unknown,"9,700'",0
4/1/2025,Salt Lake,Oingo Boingo,Snowboarder,"20""",125',300',"10,100'",0
4/1/2025,Salt Lake,Doughnut Falls,Skier,"10""",50',unknown,"8,700'",0
4/1/2025,Salt Lake,Grizzly Gulch,Skier,"10""",20',unknown,"9,400'",0
4/1/2025,Salt Lake,Scotties Bowl,Skier,"10""",30',20',"9,200'",0
4/1/2025,Salt Lake,Lake Peak,Natural,unknown,unknown,unknown,"10,100'",0
4/1/2025,Salt Lake,Rocky Point,Skier,"12""",unknown,unknown,"10,300'",0
4/2/2025,Salt Lake,Sidewinder,Skier,"20""",20',unknown,"9,500'",0
4/2/2025,Salt Lake,West Scotties,Snowboarder,"10""",50',200',"9,500'",0
4/2/2025,Salt Lake,Caribou Basin,Skier,"12""",100',200',"9,800'",0
4/3/2025,Salt Lake,Microwave,Skier,"4""",35',unknown,"10,400'",0
4/3/2025,Salt Lake,Wolverine Cirque,Skier,"18""",150',350',"10,600'",0
4/4/2025,Salt Lake,Birthday Chutes,Skier,"12""",35',300',"10,400'",0
4/6/2025,Salt Lake,Broads Fork,Natural,unknown,unknown,unknown,"8,200'",0
4/7/2025,Salt Lake,White Baldy,Natural,"5""",20',unknown,"10,400'",0
4/13/2025,Salt Lake,Broads Fork,Natural,unknown,unknown,800',"9,400'",0
4/17/2025,Salt Lake,Brighton Perimeter,Natural,"8""",80',200',"10,300'",0
4/18/2025,Salt Lake,Broads Fork,Natural,unknown,unknown,unknown,"8,600'",0
4/19/2025,Salt Lake,Butler Basin,Snowboarder,"8""",35',150',"9,900'",0
5/5/2025,Salt Lake,Gunsight,Skier,"3""",15',unknown,"10,100'",0
5/6/2025,Salt Lake,Cardiac Ridge,Natural,"8""",50',unknown,"9,300'",0
5/6/2025,Salt Lake,Alta Ski Area,Natural,unknown,50',unknown,"9,800'",0
5/6/2025,Salt Lake,Mill B South,Natural,unknown,unknown,unknown,"10,000'",0
5/7/2025,Salt Lake,Bonkers,Natural,5',200',unknown,"9,700'",0
5/19/2025,Salt Lake,Baldy,Snowboarder,"12""",50',unknown,"10,200'",0
5/19/2025,Salt Lake,Tuscarora,Skier,"10""",40',90',"10,100'",0
5/19/2025,Salt Lake,Baldy,Skier,"18""",unknown,unknown,"10,800'",0
5/28/2025,Salt Lake,Salt Lake,Natural,unknown,10',unknown,"10,500'",0
10/16/2025,Salt Lake,Alta Periphery,Unknown,"6""",20',unknown,"8,400'",0
10/16/2025,Salt Lake,Gunsight,Skier,"6""",20',unknown,"10,100'",0
